NAME,B19013_001E,state,Year
Wisconsin,60773,55,2018
Wyoming,61584,56,2018
Puerto Rico,20296,72,2018
Mississippi,44717,28,2018
Missouri,54478,29,2018
Montana,55328,30,2018
Nebraska,59566,31,2018
Nevada,58646,32,2018
New Hampshire,74991,33,2018
New Jersey,81740,34,2018
New Mexico,47169,35,2018
New York,67844,36,2018
North Carolina,53855,37,2018
North Dakota,63837,38,2018
Ohio,56111,39,2018
Oklahoma,51924,40,2018
Oregon,63426,41,2018
Pennsylvania,60905,42,2018
Rhode Island,64340,44,2018
South Carolina,52306,45,2018
South Dakota,56274,46,2018
Tennessee,52375,47,2018
Texas,60629,48,2018
Vermont,60782,50,2018
Utah,71414,49,2018
Virginia,72577,51,2018
Washington,74073,53,2018
West Virginia,44097,54,2018
Alabama,49861,01,2018
Alaska,74346,02,2018
Arizona,59246,04,2018
Arkansas,47062,05,2018
California,75277,06,2018
Colorado,71953,08,2018
Delaware,64805,10,2018
District of Columbia,85203,11,2018
Connecticut,76348,09,2018
Florida,55462,12,2018
Georgia,58756,13,2018
Idaho,55583,16,2018
Hawaii,80212,15,2018
Illinois,65030,17,2018
Indiana,55746,18,2018
Iowa,59955,19,2018
Kansas,58218,20,2018
Kentucky,50247,21,2018
Louisiana,47905,22,2018
Maine,55602,23,2018
Maryland,83242,24,2018
Massachusetts,79835,25,2018
Michigan,56697,26,2018
Minnesota,70315,27,2018
Mississippi,45792,28,2019
Missouri,57409,29,2019
Montana,57153,30,2019
Nebraska,63229,31,2019
Nevada,63276,32,2019
New Hampshire,77933,33,2019
New Jersey,85751,34,2019
New Mexico,51945,35,2019
New York,72108,36,2019
North Carolina,57341,37,2019
North Dakota,64577,38,2019
Ohio,58642,39,2019
Oklahoma,54449,40,2019
Oregon,67058,41,2019
Pennsylvania,63463,42,2019
Rhode Island,71169,44,2019
South Carolina,56227,45,2019
South Dakota,59533,46,2019
Tennessee,56071,47,2019
Texas,64034,48,2019
Vermont,63001,50,2019
Utah,75780,49,2019
Virginia,76456,51,2019
Washington,78687,53,2019
West Virginia,48850,54,2019
Wisconsin,64168,55,2019
Wyoming,65003,56,2019
Puerto Rico,20474,72,2019
Illinois,69187,17,2019
Georgia,61980,13,2019
Idaho,60999,16,2019
Hawaii,83102,15,2019
Indiana,57603,18,2019
Iowa,61691,19,2019
Kansas,62087,20,2019
Kentucky,52295,21,2019
Louisiana,51073,22,2019
Maine,58924,23,2019
Maryland,86738,24,2019
Massachusetts,85843,25,2019
Michigan,59584,26,2019
Minnesota,74593,27,2019
Connecticut,78833,09,2019
Florida,59227,12,2019
Alabama,51734,01,2019
Alaska,75463,02,2019
Arizona,62055,04,2019
Arkansas,48952,05,2019
California,80440,06,2019
Colorado,77127,08,2019
Delaware,70176,10,2019
District of Columbia,92266,11,2019
Alabama,53913,01,2021
Puerto Rico,22237,72,2021
Arizona,69056,04,2021
Arkansas,52528,05,2021
California,84907,06,2021
Colorado,82254,08,2021
Connecticut,83771,09,2021
Delaware,71091,10,2021
District of Columbia,90088,11,2021
Florida,63062,12,2021
Georgia,66559,13,2021
Hawaii,84857,15,2021
Idaho,66474,16,2021
Illinois,72205,17,2021
Indiana,62743,18,2021
Iowa,65600,19,2021
Kansas,64124,20,2021
Kentucky,55573,21,2021
Louisiana,52087,22,2021
Maine,64767,23,2021
Maryland,90203,24,2021
Massachusetts,89645,25,2021
Michigan,63498,26,2021
Minnesota,77720,27,2021
Mississippi,48716,28,2021
Missouri,61847,29,2021
Montana,63249,30,2021
Nebraska,66817,31,2021
Nevada,66274,32,2021
New Hampshire,88465,33,2021
New Jersey,89296,34,2021
New Mexico,53992,35,2021
New York,74314,36,2021
North Carolina,61972,37,2021
North Dakota,66519,38,2021
Ohio,62262,39,2021
Oklahoma,55826,40,2021
Oregon,71562,41,2021
Pennsylvania,68957,42,2021
Rhode Island,74008,44,2021
South Carolina,59318,45,2021
South Dakota,66143,46,2021
Tennessee,59695,47,2021
Texas,66963,48,2021
Utah,79449,49,2021
Vermont,72431,50,2021
Virginia,80963,51,2021
Washington,84247,53,2021
West Virginia,51248,54,2021
Wisconsin,67125,55,2021
Wyoming,65204,56,2021
Alaska,77845,02,2021
Alabama,59674,01,2022
Alaska,88121,02,2022
Arizona,74568,04,2022
Arkansas,55432,05,2022
California,91551,06,2022
Colorado,89302,08,2022
Connecticut,88429,09,2022
Delaware,82174,10,2022
District of Columbia,101027,11,2022
Florida,69303,12,2022
Georgia,72837,13,2022
Hawaii,92458,15,2022
Idaho,72785,16,2022
Illinois,76708,17,2022
Indiana,66785,18,2022
Iowa,69588,19,2022
Kansas,68925,20,2022
Kentucky,59341,21,2022
Louisiana,55416,22,2022
Maine,69543,23,2022
Maryland,94991,24,2022
Massachusetts,94488,25,2022
Michigan,66986,26,2022
Minnesota,82338,27,2022
Mississippi,52719,28,2022
Missouri,64811,29,2022
Montana,67631,30,2022
Nebraska,69597,31,2022
Nevada,72333,32,2022
New Hampshire,89992,33,2022
New Jersey,96346,34,2022
New Mexico,59726,35,2022
New York,79557,36,2022
North Carolina,67481,37,2022
North Dakota,71970,38,2022
Ohio,65720,39,2022
Oklahoma,59673,40,2022
Oregon,75657,41,2022
Pennsylvania,71798,42,2022
Rhode Island,81854,44,2022
South Carolina,64115,45,2022
South Dakota,69728,46,2022
Tennessee,65254,47,2022
Texas,72284,48,2022
Utah,89168,49,2022
Vermont,73991,50,2022
Virginia,85873,51,2022
Washington,91306,53,2022
West Virginia,54329,54,2022
Wisconsin,70996,55,2022
Wyoming,70042,56,2022
Puerto Rico,24112,72,2022
